iteration,exploitability,graph,tot_t
1,2.951826605623891e-08,Graf0,11.42027473449707
2,3.4747415361993536e-08,Graf0,21.190020084381104
3,1.4333370252015497e-07,Graf0,29.895815134048462
4,3.4341951453909526e-09,Graf0,38.558218002319336
5,8.194648869884065e-09,Graf0,47.05633616447449
6,9.146686902787901e-10,Graf0,56.48546099662781
7,0.0014020936974997486,Graf0,65.08918690681458
8,0.0004987375678422677,Graf0,74.95674586296082
9,0.00017528220637344084,Graf0,84.38335609436035
10,0.00011620555380200575,Graf0,92.88250803947449
11,3.535822590280308e-05,Graf0,102.1790087223053
12,5.829774657617111e-05,Graf0,111.3826150894165
13,8.561334911703161e-05,Graf0,121.15097999572754
14,0.00032188765453973445,Graf0,129.25417709350586
