iteration,average_exploitability,graph,init_t,average_total_time
1,0.5055524417009601,Graf2,6.453082323074341,12.740978240966797
4,0.12638811042524,Graf2,6.453082323074341,31.48739218711853
7,0.07222177738585145,Graf2,6.453082323074341,50.41999912261963
10,0.050555244170096006,Graf2,6.453082323074341,69.26691198348999
13,0.03888864936161232,Graf2,6.453082323074341,88.32021403312683
16,0.03159702760631,Graf2,6.453082323074341,107.28888082504272
19,0.026608023247418955,Graf2,6.453082323074341,126.21091985702515
22,0.022979656440952727,Graf2,6.453082323074341,145.13678240776062
25,0.020222097668038404,Graf2,6.453082323074341,164.0477421283722
28,0.018055444346462862,Graf2,6.453082323074341,182.94597625732422
