network,l_rate,b_size_a,b_size_p,mem_cap,pn_train_steps,an_train_steps,exploitability
"128,128,128",0.00026697521371919764,256,1024,4000000.0,1024,8192,0.01795902382387069
,,,,,,,
"64,64",2.2166813941783274e-05,1024,2048,3000000.0,8192,4096,0.09495575238879683
,,,,,,,
"128,128,128",0.0002710427243580143,256,256,2000000.0,1024,4096,0.019946380454229654
,,,,,,,
"128,128,128",0.0003832510498849376,2048,2048,1000000.0,1024,1024,0.01670131599353484
,,,,,,,
"64,64",3.7943451977631604e-05,256,256,2000000.0,8192,8192,0.07632938797493
,,,,,,,
