network,l_rate,b_size_a,b_size_p,mem_cap,pn_train_steps,an_train_steps,exploitability
"64,64",0.00013241778006981594,256,2048,3000000.0,8192,2048,0.009168883257089562
,,,,,,,
"128,128,128",2.4064031872979925e-05,256,2048,10000000.0,8192,4096,0.008007734207698135
,,,,,,,
"64,64",7.596541628657903e-05,2048,512,1000000.0,4096,1024,0.010095840775434833
,,,,,,,
"64,64",0.00035413486968873735,512,256,4000000.0,1024,2048,0.009023325426979523
,,,,,,,
"128,128",2.1815812183179614e-05,512,256,3000000.0,8192,1024,0.014459157645131728
,,,,,,,
