iteration,exploitability,total_time,learn_time,graph
1,0.9426812218645277,77.95072703361511,55.44827423095703,Graf0
2,0.5285347460572781,159.38372893333434,117.58676886558533,Graf0
3,0.3282241934420117,248.95721440315248,182.45478439331055,Graf0
4,0.24653065719551948,340.62087140083315,246.53665208816528,Graf0
5,0.16962910364915873,426.3890809059143,308.2519506931305,Graf0
6,0.13845245007214574,507.68604574203493,367.4915929794312,Graf0
7,0.12608174527832108,589.6252198219299,428.32486934661864,Graf0
8,0.10464603575305245,675.4263848304748,490.87045497894286,Graf0
9,0.07591221950382102,762.7415125846862,553.3267197132111,Graf0
10,0.08167001598501969,849.1161287784577,617.9762166500092,Graf0
11,0.09112479479519908,934.0627586364747,682.241917514801,Graf0
12,0.10274748845565115,975.3816102743149,713.9457688331604,Graf0
13,0.08104603554218895,1056.9266402721405,774.6094256639481,Graf0
14,0.07442525718226226,1139.7280150055885,835.8417944312096,Graf0
15,0.07009139600219494,1225.8901609182358,899.0353392958641,Graf0
16,0.055381739315919304,1310.592851281166,959.8557171225548,Graf0
17,0.041418483693750674,1391.8779596090317,1020.0447016358376,Graf0
18,0.07186273539786099,1416.2704311211903,1053.648723045985,Graf0
19,0.048799496332293635,1493.991807460785,1111.7318476835887,Graf0
20,0.04123978158452809,1572.7420648733776,1170.8568063577015,Graf0
21,0.030808321185031146,1650.6639718214672,1227.2411657174428,Graf0
22,0.026282353262199114,1732.223686059316,1287.8296798865001,Graf0
23,0.043152182566320064,1818.7589542865753,1353.6371263662975,Graf0
24,0.0653917984462557,1629.5918370485306,1213.9595166444778,Graf0
25,0.04632966859691401,1720.9045914411545,1279.9648342132568,Graf0
26,0.08955241372420886,2476.216908931732,1856.9295873641968,Graf0
27,0.10204035558469227,2575.289633989334,1929.950183391571,Graf0
28,0.11035789175274124,2673.650927066803,2001.1548006534576,Graf0
29,0.09749972373497184,2773.784378051758,2072.2012531757355,Graf0
30,0.09677554258598275,2874.8998670578003,2144.2470319271088,Graf0
31,0.07772508039890513,2979.7026698589325,2220.0256457328796,Graf0
32,0.05789706347584944,3085.4876339435577,2295.6790227890015,Graf0
33,0.03850189232456436,3194.900550842285,2374.8999910354614,Graf0
34,0.05547018933781256,3306.1969599723816,2455.538183450699,Graf0
35,0.06494427242290723,3420.116626739502,2538.8252234458923,Graf0
36,0.07355348196873046,3531.475131750107,2619.8030128479004,Graf0
37,0.0580551719739435,3631.7533118724823,2695.0717055797577,Graf0
38,0.04599806911765192,3732.163671016693,2770.7021701335907,Graf0
39,0.0597323562499803,3833.3096919059753,2847.880411863327,Graf0
40,0.07926129159336825,3935.2615370750427,2926.936779022217,Graf0
41,0.06538538800320548,4038.095908164978,3007.7650594711304,Graf0
42,0.06661530849187136,4142.364339351654,3087.785495519638,Graf0
43,0.06679665662758372,4247.189491271973,3166.514086484909,Graf0
44,0.07176235428571986,4349.074149131775,3241.7376565933228,Graf0
45,0.07276249476337426,4457.17586016655,3322.2547237873077,Graf0
46,0.07215537574665332,4571.379412174225,3407.272311449051,Graf0
47,0.0664006775009538,4683.656902313232,3490.165055036545,Graf0
48,0.06963842471952908,4801.576166629791,3576.8884224891663,Graf0
49,0.06671602631750506,4920.659387588501,3664.3926653862,Graf0
50,0.05369760676520252,5043.755926370621,3757.2944581508636,Graf0
51,0.046439132817646334,5150.188529491425,3834.408546924591,Graf0
52,0.03764536570503274,5254.836446523666,3909.911908388138,Graf0
53,0.03757848439655709,5359.444735527039,3985.008861064911,Graf0
54,0.05157696298583325,5464.995852470398,4061.665889263153,Graf0
55,0.056801108295302605,5572.738892316818,4140.308156490326,Graf0
56,0.06226035460169843,5682.391165494919,4220.525339603424,Graf0
57,0.0649568158415641,5782.332600355148,4295.245899200439,Graf0
58,0.050505793705710955,5881.178557395935,4370.025077342987,Graf0
59,0.025669546576740365,5980.104880332947,4446.552635669708,Graf0
60,0.02909811025643061,6083.760235309601,4526.535858392715,Graf0
61,0.030018217285906146,6192.092202425003,4610.44836974144,Graf0
62,0.03772623144454745,6305.32781624794,4696.804534435272,Graf0
63,0.04256857447393447,6422.675940275192,4786.3813264369965,Graf0
64,0.04235447177712759,6544.283371210098,4878.379573583603,Graf0
65,0.044521467278432536,6663.337192058563,4966.67147731781,Graf0
66,0.03227883467217163,6770.940315961838,5044.638085365295,Graf0
67,0.029281039271521037,6878.48020195961,5122.077558517456,Graf0
68,0.019866343936912556,6985.197190999985,5199.6536655426025,Graf0
