iteration,exploitability,graph,total_time,learn_time
1,0.6611696608971211,Graf0,95.7075719833374,69.52142095565796
2,0.6015180881413991,Graf0,190.0947847366333,141.8894670009613
3,0.34073005123985484,Graf0,298.9641706943512,218.89883065223694
4,0.1629210401864739,Graf0,406.887761592865,293.0253052711487
5,0.1930884890069381,Graf0,496.54935932159424,361.2248775959015
6,0.23920443387241896,Graf0,584.8878064155579,427.60912132263184
7,0.21307523148675106,Graf0,675.8648972511292,496.1920428276062
8,0.11147659572535351,Graf0,770.445906162262,567.6326348781586
9,0.08777601668261736,Graf0,864.9804599285126,639.2037103176117
10,0.07518739840097305,Graf0,960.2540128231049,712.7608675956726
11,0.09763003330581355,Graf0,1053.0650708675385,784.3760707378387
12,0.10435585462299324,Graf0,1146.7118940353394,855.5438754558563
13,0.06664049031414487,Graf0,1241.9124209880829,927.862868309021
14,0.024811188779543025,Graf0,1339.8311059474945,1002.7852144241333
15,0.0484987977313992,Graf0,1440.0516028404236,1081.3146722316742
16,0.0785125844950153,Graf0,1530.0984709262848,1149.6250231266022
17,0.08280884693377766,Graf0,1622.2987101078033,1219.7669081687927
18,0.09379601211695876,Graf0,1718.6681399345398,1292.8072187900543
19,0.05685464808171048,Graf0,1816.137640953064,1366.4064922332764
20,0.042041748290788994,Graf0,1915.3102221488953,1441.3647713661194
21,0.03189489035880444,Graf0,2005.7988560199738,1508.9297745227814
22,0.020399925486876747,Graf0,2097.5075170993805,1575.9685571193695
23,0.06769300810152168,Graf0,2191.10808801651,1644.1866707801819
24,0.09217275857621277,Graf0,2284.3951828479767,1713.6438694000244
25,0.07352231987043367,Graf0,2378.306487798691,1784.748327255249
26,0.08955241372420886,Graf0,2476.216908931732,1856.9295873641968
27,0.10204035558469227,Graf0,2575.289633989334,1929.950183391571
28,0.11035789175274124,Graf0,2673.650927066803,2001.1548006534576
29,0.09749972373497184,Graf0,2773.784378051758,2072.2012531757355
30,0.09677554258598275,Graf0,2874.8998670578003,2144.2470319271088
31,0.07772508039890513,Graf0,2979.7026698589325,2220.0256457328796
32,0.05789706347584944,Graf0,3085.4876339435577,2295.6790227890015
33,0.03850189232456436,Graf0,3194.900550842285,2374.8999910354614
34,0.05547018933781256,Graf0,3306.1969599723816,2455.538183450699
35,0.06494427242290723,Graf0,3420.116626739502,2538.8252234458923
36,0.07355348196873046,Graf0,3531.475131750107,2619.8030128479004
37,0.0580551719739435,Graf0,3631.7533118724823,2695.0717055797577
38,0.04599806911765192,Graf0,3732.163671016693,2770.7021701335907
39,0.0597323562499803,Graf0,3833.3096919059753,2847.880411863327
40,0.07926129159336825,Graf0,3935.2615370750427,2926.936779022217
41,0.06538538800320548,Graf0,4038.095908164978,3007.7650594711304
42,0.06661530849187136,Graf0,4142.364339351654,3087.785495519638
43,0.06679665662758372,Graf0,4247.189491271973,3166.514086484909
44,0.07176235428571986,Graf0,4349.074149131775,3241.7376565933228
45,0.07276249476337426,Graf0,4457.17586016655,3322.2547237873077
46,0.07215537574665332,Graf0,4571.379412174225,3407.272311449051
47,0.0664006775009538,Graf0,4683.656902313232,3490.165055036545
48,0.06963842471952908,Graf0,4801.576166629791,3576.8884224891663
49,0.06671602631750506,Graf0,4920.659387588501,3664.3926653862
50,0.05369760676520252,Graf0,5043.755926370621,3757.2944581508636
51,0.046439132817646334,Graf0,5150.188529491425,3834.408546924591
52,0.03764536570503274,Graf0,5254.836446523666,3909.911908388138
53,0.03757848439655709,Graf0,5359.444735527039,3985.008861064911
54,0.05157696298583325,Graf0,5464.995852470398,4061.665889263153
55,0.056801108295302605,Graf0,5572.738892316818,4140.308156490326
56,0.06226035460169843,Graf0,5682.391165494919,4220.525339603424
57,0.0649568158415641,Graf0,5782.332600355148,4295.245899200439
58,0.050505793705710955,Graf0,5881.178557395935,4370.025077342987
59,0.025669546576740365,Graf0,5980.104880332947,4446.552635669708
60,0.02909811025643061,Graf0,6083.760235309601,4526.535858392715
61,0.030018217285906146,Graf0,6192.092202425003,4610.44836974144
62,0.03772623144454745,Graf0,6305.32781624794,4696.804534435272
63,0.04256857447393447,Graf0,6422.675940275192,4786.3813264369965
64,0.04235447177712759,Graf0,6544.283371210098,4878.379573583603
65,0.044521467278432536,Graf0,6663.337192058563,4966.67147731781
66,0.03227883467217163,Graf0,6770.940315961838,5044.638085365295
67,0.029281039271521037,Graf0,6878.48020195961,5122.077558517456
68,0.019866343936912556,Graf0,6985.197190999985,5199.6536655426025
