iteration,exploitability,graph,total_time,total_learn_time
1,0.5996246663302232,Graf0,85.43214321136475,64.52567768096924
2,0.5999494953474066,Graf0,179.80631613731384,138.00771474838257
3,0.3016247023603887,Graf0,285.73108100891113,213.40047526359558
4,0.27856112436367886,Graf0,388.73133611679077,285.10257863998413
5,0.1925167820917656,Graf0,482.54077434539795,356.25078797340393
6,0.15817743724825883,Graf0,580.2880573272705,429.07317876815796
7,0.1666512249079639,Graf0,682.8106701374054,505.3837525844574
8,0.10739097640876383,Graf0,791.4038290977478,583.7368452548981
9,0.026055610336155444,Graf0,901.8702852725983,663.8562324047089
10,0.06940397804566556,Graf0,1009.9647834300995,747.1110105514526
11,0.06264216975749048,Graf0,1124.8116886615753,833.8975758552551
12,0.020235170050241225,Graf0,1241.9016885757446,919.4217865467072
13,0.03586822073419582,Graf0,1343.2568109035492,995.5772914886475
14,0.05282589645057478,Graf0,1443.3983128070831,1071.8336644172668
15,0.06276697050285018,Graf0,1548.8021266460419,1149.329712152481
16,0.024357459137339554,Graf0,1655.5001947879791,1225.1779673099518
17,0.022041944524525237,Graf0,1755.5633358955383,1298.4528484344482
18,0.034611914408766764,Graf0,1857.7816457748413,1376.2300987243652
19,0.027212229946844912,Graf0,1956.576989889145,1449.6864266395569
20,0.05063339835552538,Graf0,2056.395500898361,1524.692893743515
21,0.027644542984134546,Graf0,2162.223921775818,1599.3396446704865
22,0.020695952179356825,Graf0,2270.427253484726,1679.4480216503143
23,0.008828103589507919,Graf0,2379.5174555778503,1762.1851625442505
