iteration,graph,exploitability,init_tid,total_time
0,Graf1,1.373033217562907,0.0001220703125,0.22418665885925293
1000,Graf1,0.18438030801257838,0.0001220703125,133.93715071678162
2000,Graf1,0.11616193153666182,0.0001220703125,315.89495825767517
3000,Graf1,0.1002277465327826,0.0001220703125,459.16510367393494
4000,Graf1,0.06229140297144076,0.0001220703125,585.9403622150421
5000,Graf1,0.059056867899880905,0.0001220703125,715.4104347229004
6000,Graf1,0.0644876287395415,0.0001220703125,846.7401885986328
7000,Graf1,0.06355621877826328,0.0001220703125,962.4382236003876
8000,Graf1,0.046035392780805706,0.0001220703125,1070.0776751041412
9000,Graf1,0.054099454151248505,0.0001220703125,1177.6645393371582
10000,Graf1,0.049957830502810274,0.0001220703125,1284.7945265769958
11000,Graf1,0.034009241499519005,0.0001220703125,1391.569030046463
12000,Graf1,0.035457795663635217,0.0001220703125,1491.3939352035522
13000,Graf1,0.03507952717614238,0.0001220703125,1591.5510890483856
14000,Graf1,0.022125807941894893,0.0001220703125,1696.410190820694
15000,Graf1,0.027575361883328875,0.0001220703125,1799.2930703163147
16000,Graf1,0.022416206323978116,0.0001220703125,1909.8685810565948
17000,Graf1,0.026820497491412076,0.0001220703125,2022.1675584316254
18000,Graf1,0.02915888774724179,0.0001220703125,2129.5964872837067
19000,Graf1,0.030143293912772984,0.0001220703125,2235.2524394989014
20000,Graf1,0.024885217110694358,0.0001220703125,2336.8037984371185
21000,Graf1,0.02269102923316152,0.0001220703125,2437.043891429901
22000,Graf1,0.01988259814012666,0.0001220703125,2551.7826902866364
