iteration,average_exploitability,average_total_time
1,0.820449014154425,7603.816545009613
2,0.26174521210059787,15254.685617923737
3,0.16696901163914624,22838.97421813011
4,0.17150514185388588,30378.438772916794
5,0.1583512753819145,37913.96632814407
6,0.13924164713578224,45454.85537481308
7,0.15104896099776655,52975.89091682434
8,0.11315549875840836,60556.699841976166
9,0.27535616277246666,68151.47899007797
10,0.14012278572854198,75775.86580681801
11,0.13005030516050764,83423.37125515938
12,0.11564461700152295,91081.05563807487
