iteration,exploitability,graph,total_time,total learn time
1,0.2553029738074454,L_Graf2,7541.136960029602,26.959815979003906
2,0.11861475748846972,L_Graf2,15122.0053627491,59.17727994918823
3,0.14334504726068642,L_Graf2,22666.43893289566,89.3947103023529
4,0.1262070970022543,L_Graf2,30167.686918735504,115.30685234069824
5,0.18182625112734407,L_Graf2,37705.36217164993,145.96329259872437
6,0.11149291852996124,L_Graf2,45216.3749358654,175.6025514602661
7,0.06131596640101522,L_Graf2,52747.66398501396,198.48670935630798
8,0.08085532198849288,L_Graf2,60992.79536509514,224.09298539161682
9,0.06302679633816366,L_Graf2,68505.55415129662,251.16885828971863
10,0.135187392138013,L_Graf2,75953.39275026321,273.57597827911377
11,0.06994833147915858,L_Graf2,83411.53452920914,296.7069113254547
12,0.11256066231946815,L_Graf2,90865.29715824127,312.59791016578674
