iteration,average_exploitability,average_total_time
1,0.07382192102609464,7765.381769418716
2,0.18976434078632376,15589.916766405106
3,0.173471840269653,23337.674214363098
4,0.2917347805029664,31046.336020231247
5,0.28759346978448186,38750.454661130905
6,0.19504454136708282,46437.66151714325
7,0.2471912474695821,54115.58946728706
8,0.12089663576980592,61832.98046326637
9,0.15145198357465373,69619.65043616295
10,0.146590696556673,77464.64900922775
11,0.14530637152805803,85268.67290329933
12,0.09828110318405203,92944.46260142326
