iteration,average_exploitability,graph,init_t,average_total_time
1,0.7131812221257714,Graf3,214.88165521621704,424.01014518737793
4,0.17829530553144285,Graf3,214.88165521621704,1056.814305305481
7,0.1018830317322531,Graf3,214.88165521621704,1689.563102722168
10,0.07131812221257727,Graf3,214.88165521621704,2327.423593521118
13,0.05486009400967479,Graf3,214.88165521621704,5573.539967536926
16,0.044573826382860726,Graf3,214.88165521621704,6202.9787855148315
19,0.03753585379609331,Graf3,214.88165521621704,6844.1774315834045
22,0.03241732827844418,Graf3,214.88165521621704,7475.441055774689
25,0.02852724888503083,Graf3,214.88165521621704,9103.215967178345
28,0.025470757933063137,Graf3,214.88165521621704,12990.030676603317
31,0.02300584587502491,Graf3,214.88165521621704,13646.306313991547
34,0.02097591829781681,Graf3,214.88165521621704,15359.176727294922
37,0.019275168165561407,Graf3,214.88165521621704,17547.390728473663
