iteration,graph,average_exploitability,average_init_time,average_total_time
0,L_Graf3,0.5013075518037995,0,0
0,L_Graf3,0.5013075518037995,0.007462787628173828,102.63827385902405
8,L_Graf3,0.18650727770073078,0.007462787628173828,947.9628765583038
16,L_Graf3,0.09527066829280936,0.007462787628173828,1778.8135711669922
24,L_Graf3,0.07364673151978943,0.007462787628173828,2609.1198511123657
32,L_Graf3,0.055167283430793704,0.007462787628173828,3451.286212205887
40,L_Graf3,0.04588688049562365,0.007462787628173828,4263.203172636032
48,L_Graf3,0.04344722011113547,0.009084522724151611,5106.06617808342
56,L_Graf3,0.038838709060772844,0.009084522724151611,5914.902025401592
64,L_Graf3,0.033426367045832295,0.009084522724151611,6721.164384365082
72,L_Graf3,0.02987126380994598,0.009084522724151611,7528.144740045071
80,L_Graf3,0.027210564402988607,0.009084522724151611,8335.19722533226
88,L_Graf3,0.026997851856922512,0.011204004287719727,9063.143885850906
96,L_Graf3,0.02431707629532409,0.011204004287719727,9869.63553571701
104,L_Graf3,0.02233110560846241,0.011204004287719727,10676.909617741903
112,L_Graf3,0.020520274846793325,0.011204004287719727,11482.791313409805
120,L_Graf3,0.02261624953916025,0.031250953674316406,12185.53638958931
128,L_Graf3,0.021395103754080547,0.031250953674316406,12988.511172771454
136,L_Graf3,0.020166825874514516,0.031250953674316406,13793.33370757103
144,L_Graf3,0.019346092263936965,0.031250953674316406,14596.177813053131
