iteration,average_exploitability,average_total_time
0,0.2704864073249697,2.922079658508301
8,0.06297418857563,25.82539505958557
16,0.04420358203151688,48.653324007987976
24,0.036577688011424005,71.49288874864578
32,0.037920002774234456,94.48785448074341
40,0.031354320848015114,117.33517901102702
48,0.027342959195810923,140.34296536445618
56,0.026642379611559196,163.29399180412292
64,0.02574804822831559,186.1924661397934
72,0.03530321791705075,208.99944067001343
80,0.03734299698668591,231.78547716140747
88,0.036923448712725127,255.01886677742004
96,0.03492094200096357,277.77858114242554
104,0.041653032630983675,300.5233256816864
112,0.04131835555954523,323.3300344944
120,0.0470671633029143,346.1219038963318
128,0.030975496105451285,368.9460208415985
136,0.031204609259295194,391.8781862258911
144,0.03114517651102579,414.75791931152344
152,0.031605297366101064,437.6581528186798
160,0.027191956887168862,460.5318138599396
168,0.025583101168129067,483.4629776477814
176,0.025383542619688445,506.3457362651825
184,0.024871869197427177,529.2389364242554
192,0.025527361790902425,552.1204841136932
200,0.022036794670037947,574.9686803817749
208,0.01850605754850814,597.8304665088654
